identifierHash,type,country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,civilityGenderId,civilityTitle,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority,seniorityAsMonths,seniorityAsYears,countryCode
1402516386610507738,user,Etats-Unis,en,4,8,1,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
4102071395146173041,user,Chine,en,4,8,3,0,0,0.0,0,0,F,2,mrs,True,False,True,True,696,2857,95.23,7.94,cn
-3604557148207796737,user,Mongolie,en,4,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,696,2857,95.23,7.94,mn
3802397351921676714,user,Etats-Unis,en,4,8,0,0,0,0.0,1,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
-2631517924194358936,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
2434708255812890296,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,696,2857,95.23,7.94,us
-3811890394097275039,user,Espagne,es,4,8,1,0,0,0.0,3,0,F,2,mrs,True,False,True,True,622,2857,95.23,7.94,es
6648923221468510246,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
6399213740119872854,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
766303754340233150,user,Australie,en,4,8,0,0,0,0.0,1,0,F,2,mrs,False,False,False,True,517,2857,95.23,7.94,au
2724285777303552408,user,Etats-Unis,en,4,8,10,0,0,0.0,0,0,F,2,mrs,False,False,False,True,114,2857,95.23,7.94,us
3409815521938680634,user,Hong Kong,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,421,2857,95.23,7.94,hk
322071197830390636,user,Australie,en,4,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,692,2857,95.23,7.94,au
-5867758779410621884,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
507616521442997307,user,Allemagne,en,4,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,696,2857,95.23,7.94,de
-956537008952248871,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
-357157729955846065,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,696,2857,95.23,7.94,us
3916716626491400434,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
-4353766931925864151,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
-4843733014668480946,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,696,2857,95.23,7.94,us
-4595914793946508793,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,463,2857,95.23,7.94,us
1004894769790179030,user,Hong Kong,en,4,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,609,2857,95.23,7.94,hk
-559539485893078265,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
-39227122624242512,user,Australie,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,548,2857,95.23,7.94,au
-7927191031283270170,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,631,2857,95.23,7.94,us
-3689808005434242462,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,590,2857,95.23,7.94,us
-6270331907305587309,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,True,True,False,True,652,2857,95.23,7.94,us
358959675591354826,user,Australie,en,4,9,0,0,0,0.0,1,0,M,1,mr,True,False,True,True,38,2857,95.23,7.94,au
5436100757269997338,user,Espagne,es,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,es
-7787164117491259542,user,Allemagne,de,4,8,1,0,0,0.0,0,0,F,2,mrs,False,False,False,True,459,2857,95.23,7.94,de
1563575288258769508,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
280710102462613267,user,Kazakhstan,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,573,2857,95.23,7.94,kz
-7110085267666848554,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
-888698273168106817,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
-7411192981100551498,user,Australie,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,au
-754559267185573184,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,696,2857,95.23,7.94,us
277193457940768421,user,France,fr,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,fr
-855428908970568184,user,Royaume-Uni,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,gb
-6879936098289551323,user,Hong Kong,en,4,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,694,2857,95.23,7.94,hk
-8010961624073144737,user,Australie,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,au
-3349962209951295922,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
6907600921012521614,user,Japon,fr,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,jp
-9041830414626092267,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,297,2857,95.23,7.94,us
-6139045600371771012,user,Corée du Sud,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,kr
-6183455520929395856,user,Mexique,es,4,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,696,2857,95.23,7.94,mx
-4573934643587918102,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
-8994119364820621777,user,Japon,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,jp
3490678419299553979,user,Australie,en,4,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,81,2857,95.23,7.94,au
-1773257292614423619,user,Etats-Unis,en,4,8,4,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
-8633586917083425195,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,696,2857,95.23,7.94,us
-8914429803224069442,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
6829404905984220817,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
6898807158628887784,user,France,fr,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,fr
-151938938203963825,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
4765959422223837883,user,Japon,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,jp
7261505127252081767,user,Australie,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,au
6704824721522899602,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
4786754920626242293,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
-7160579694027481473,user,Malaisie,en,4,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,493,2857,95.23,7.94,my
-3110330979069095057,user,Australie,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,au
5131565204875816333,user,France,fr,4,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,696,2857,95.23,7.94,fr
1420363452992897528,user,Royaume-Uni,en,4,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,696,2857,95.23,7.94,gb
-1581363889937657669,user,Malaisie,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,my
5178736740028040087,user,Etats-Unis,en,4,8,3,0,0,0.0,0,1,M,1,mr,False,False,False,True,183,2857,95.23,7.94,us
2744504489594848442,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,421,2857,95.23,7.94,us
2704882020646727147,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
-4996003015148954096,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,696,2857,95.23,7.94,us
5908090793389630983,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,530,2857,95.23,7.94,us
-2466746057421026855,user,Australie,en,4,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,696,2857,95.23,7.94,au
-564820138500436608,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,592,2857,95.23,7.94,us
452868402213604737,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
-4463598964866723358,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,696,2857,95.23,7.94,us
4575325949647525664,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
1468015496537261350,user,France,fr,4,8,0,0,0,0.0,1,1,F,2,mrs,False,False,False,True,685,2857,95.23,7.94,fr
6274970372701094176,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
5907423704023638437,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,684,2857,95.23,7.94,us
-4564244230572775354,user,Allemagne,de,4,8,2,0,0,0.0,2,0,F,2,mrs,True,False,True,True,426,2857,95.23,7.94,de
3043624274813008136,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
-2536017444306711245,user,Chine,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,cn
-4247283905439650897,user,Italie,it,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,it
-6770282553169773930,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
1310370683240052476,user,Royaume-Uni,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,gb
-4299767217773038580,user,Thailande,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,th
6333230304275587000,user,Canada,en,4,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,696,2857,95.23,7.94,ca
1070136908952119526,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,657,2857,95.23,7.94,us
-4091951130536596018,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
-8707753700542281013,user,France,fr,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,fr
-8666948162232334510,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
1470402280398084958,user,Émirats arabes unis,en,4,8,1,0,0,0.0,1,0,F,2,mrs,False,False,False,True,47,2857,95.23,7.94,ae
-4932259820524761951,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,588,2857,95.23,7.94,us
-2814197893882747045,user,Australie,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,au
6646667658804954105,user,France,fr,4,8,1,0,0,0.0,1,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,fr
5991377560747728306,user,Etats-Unis,en,4,9,1,0,0,0.0,0,1,M,1,mr,False,False,False,False,11,2857,95.23,7.94,us
-2952075584093502822,user,Etats-Unis,en,4,8,6,0,0,0.0,0,0,F,2,mrs,True,False,True,True,114,2857,95.23,7.94,us
-770924056550856145,user,Canada,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,ca
9025443031268839060,user,France,fr,4,8,0,0,0,0.0,1,0,F,2,mrs,True,False,True,True,633,2857,95.23,7.94,fr
4639715541553018636,user,Chine,en,4,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,695,2857,95.23,7.94,cn
-9026413942688828040,user,Espagne,es,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,es
-87454918603836264,user,Australie,en,4,8,1,0,0,0.0,0,0,F,2,mrs,True,True,False,True,229,2857,95.23,7.94,au
5866200909244562099,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,True,True,False,True,663,2857,95.23,7.94,us
-6962831350689361520,user,Royaume-Uni,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,503,2857,95.23,7.94,gb
-5009956153193650036,user,Royaume-Uni,en,4,9,4,0,0,0.0,0,0,M,1,mr,False,False,False,True,588,2857,95.23,7.94,gb
-6515998977683611741,user,Royaume-Uni,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,gb
8675880705008805069,user,Etats-Unis,en,4,8,0,0,0,0.0,5,0,M,1,mr,False,False,False,True,21,2857,95.23,7.94,us
-7852908894275715542,user,Etats-Unis,en,4,8,1,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
-6206279420125066544,user,Etats-Unis,fr,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,385,2857,95.23,7.94,us
8536263776602858345,user,Etats-Unis,en,4,8,1,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
-6933581221467886002,user,Italie,it,4,8,0,0,0,0.0,0,2,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,it
8929786056139742053,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
6905761020344895397,user,Canada,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,666,2857,95.23,7.94,ca
1705357090772634778,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
-4906069392415438598,user,Australie,en,4,8,13,0,0,0.0,0,0,F,2,mrs,True,False,True,True,72,2857,95.23,7.94,au
5696275837706521643,user,France,fr,4,8,2,0,0,0.0,0,0,M,1,mr,False,False,False,True,638,2857,95.23,7.94,fr
5093273998837553948,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,696,2857,95.23,7.94,us
2843225250168476932,user,Malaisie,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,my
5440869666931472385,user,Canada,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,ca
-3268232709918382386,user,Italie,it,4,8,27,0,0,0.0,0,0,M,1,mr,True,False,True,True,150,2857,95.23,7.94,it
2365024307026297311,user,Canada,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,ca
-8499151570123178329,user,Etats-Unis,en,4,8,2,0,0,0.0,2,0,F,2,mrs,False,False,False,True,495,2857,95.23,7.94,us
1467748530121293340,user,Allemagne,de,4,8,1,0,0,0.0,0,0,F,2,mrs,True,False,True,True,693,2857,95.23,7.94,de
5622427171297867491,user,France,fr,4,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,696,2857,95.23,7.94,fr
7464536917518402444,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
814442315567135916,user,France,fr,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,fr
-9204199752819954265,user,Espagne,es,4,8,0,0,0,0.0,0,0,F,2,mrs,True,True,False,True,696,2857,95.23,7.94,es
-3281257645793201415,user,Italie,it,4,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,656,2857,95.23,7.94,it
-7599919589027550026,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,647,2857,95.23,7.94,us
7226684372763929564,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,411,2857,95.23,7.94,us
-4182186400616869807,user,Hong Kong,en,4,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,696,2857,95.23,7.94,hk
1788966919614500581,user,Pays-Bas,es,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,417,2857,95.23,7.94,nl
822592324567841601,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,184,2857,95.23,7.94,us
-6314990491757704951,user,Royaume-Uni,en,4,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,696,2857,95.23,7.94,gb
-2002581942086678106,user,Hong Kong,en,4,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,696,2857,95.23,7.94,hk
5541953698546743591,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,us
-8206974861130504229,user,Australie,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,696,2857,95.23,7.94,au
-4753669274878172668,user,Australie,en,4,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,696,2857,95.23,7.94,au
7270797029155246647,user,Singapour,en,4,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,696,2857,95.23,7.94,sg
